Step Number	Objective	Action	Code/Command	Notes
1	Create Replit Project	Go to replit.com, sign in, and create a new Repl.	-	Select “Node.js” template. Name project (e.g., STR-CRM).
1.1	Install Next.js with TypeScript	Install Next.js and TypeScript dependencies.	npm init -y && npm install next@latest react@latest react-dom@latest typescript@latest @types/react @types/react-dom @types/node	Ensures TypeScript support for your YCA experience.
1.2	Configure TypeScript	Create tsconfig.json.	npx tsc --init && echo '{ "compilerOptions": { "target": "es5", "lib": ["dom", "dom.iterable", "esnext"], "allowJs": true, "skipLibCheck": true, "strict": true, "forceConsistentCasingInFileNames": true, "noEmit": true, "esModuleInterop": true, "module": "esnext", "moduleResolution": "node", "resolveJsonModule": true, "isolatedModules": true, "jsx": "preserve", "incremental": true }, "include": ["next-env.d.ts", "**/*.ts", "**/*.tsx"], "exclude": ["node_modules"] }' > tsconfig.json	Optimized for Next.js.
1.3	Configure Next.js	Create next.config.js.	echo 'module.exports = { reactStrictMode: true };' > next.config.js	Enables strict mode for better error handling.
1.4	Set Up Project Structure	Create folders and initial page.	mkdir -p pages components lib styles public && echo 'import type { NextPage } from "next"; const Home: NextPage = () => { return <div>Welcome to STR CRM</div>; }; export default Home;' > pages/index.tsx	Basic structure for CRM and public page.
1.5	Run the App	Add scripts to package.json and run.	sed -i 's/"scripts": {/"scripts": { "dev": "next dev", "build": "next build", "start": "next start", /' package.json && npm run dev	Access via Replit’s preview URL (e.g., https://STR-CRM.yourusername.repl.co).
2	Install SQLite	Install SQLite for local storage.	npm install better-sqlite3	Keeps data local for discretion.
2.1	Initialize Database	Create database connection.	echo 'import Database from "better-sqlite3"; const db = new Database("data.db", { verbose: console.log }); export default db;' > lib/db.ts	Uses better-sqlite3 for performance.
2.2	Create Tables	Create database schema.	echo 'import db from "./db"; export function initDb() { db.exec(`CREATE TABLE IF NOT EXISTS rooms (id TEXT PRIMARY KEY, property TEXT, rates JSON, code TEXT, frontDoorCode TEXT, codeExpiry TEXT, paymentStatus TEXT, cleaningStatus TEXT, linenStatus TEXT, notes TEXT)`); db.exec(`CREATE TABLE IF NOT EXISTS bookings (id TEXT PRIMARY KEY, roomId TEXT, guestId TEXT, plan TEXT, startDate TEXT, endDate TEXT, paymentStatus TEXT, code TEXT, frontDoorCode TEXT)`); db.exec(`CREATE TABLE IF NOT EXISTS guests (id TEXT PRIMARY KEY, name TEXT, contact TEXT, referralSource TEXT, cashAppTag TEXT, notes TEXT)`); db.exec(`CREATE TABLE IF NOT EXISTS payments (id TEXT PRIMARY KEY, bookingId TEXT, amount REAL, method TEXT, dateReceived TEXT, transactionId TEXT, notes TEXT)`); db.exec(`CREATE TABLE IF NOT EXISTS cleaning (id TEXT PRIMARY KEY, roomId TEXT, type TEXT, date TEXT, cleaner TEXT, status TEXT, notes TEXT)`); db.exec(`CREATE TABLE IF NOT EXISTS inventory (id TEXT PRIMARY KEY, property TEXT, item TEXT, quantity INTEGER, threshold INTEGER)`); db.exec(`CREATE TABLE IF NOT EXISTS maintenance (id TEXT PRIMARY KEY, roomId TEXT, issue TEXT, status TEXT, dateReported TEXT)`); db.exec(`CREATE TABLE IF NOT EXISTS users (id TEXT PRIMARY KEY, username TEXT UNIQUE, password TEXT, role TEXT, property TEXT)`); db.exec(`CREATE TABLE IF NOT EXISTS inquiries (id TEXT PRIMARY KEY, name TEXT, contact TEXT, referralSource TEXT, plan TEXT, status TEXT, trackerLink TEXT, linkExpiry TEXT)`); }' > lib/initDb.ts	Tables for rooms, bookings, payments, cleaning, etc.
2.3	Initialize API	Create API to init database.	echo 'import type { NextApiRequest, NextApiResponse } from "next"; import { initDb } from "../../lib/initDb"; export default function handler(req: NextApiRequest, res: NextApiResponse) { initDb(); res.status(200).json({ message: "Database initialized" }); }' > pages/api/init.ts	Call on startup.
2.4	Seed Rooms	Add initial room data.	npm install uuid @types/uuid && echo 'import db from "./db"; import { v4 as uuidv4 } from "uuid"; export function seedRooms() { const rooms = [ ...Array(8).fill(0).map((_, i) => ({ id: `P1-R${i + 1}`, property: "P1", rates: JSON.stringify({ day: 100, week: 500, month: 2000 }) })), ...Array(10).fill(0).map((_, i) => ({ id: `P2-R${i + 1}`, property: "P2", rates: JSON.stringify({ day: 60, week: 300, month: 1200 }) })), ]; const stmt = db.prepare("INSERT OR IGNORE INTO rooms (id, property, rates) VALUES (?, ?, ?)"); rooms.forEach(room => stmt.run(room.id, room.property, room.rates)); }' > lib/seed.ts	Seeds 8 rooms for P1, 10 for P2.
3	Install next-auth	Install authentication library.	npm install next-auth bcrypt @types/bcrypt	Supports user roles (admin, managers, helpers).
